Date,Transaction ID,Payment Type,Shipping tier,Total revenue,
,,,,54013776.25,Grand total
20251030,4134684,(not set),(not set),205748.61,
20251106,4161425,(not set),(not set),110703.74,
20251107,4162564,(not set),(not set),96252.24,
20251111,4173691,(not set),(not set),89999.7,
20251216,4212491,(not set),(not set),69603.87,
20251216,4212110,(not set),(not set),61199.96,
20251203,4197718,(not set),(not set),60001.99,
20251023,4128949,(not set),(not set),59403.79,
20260110,4242470,(not set),(not set),55350.99,
20251208,4202598,(not set),(not set),45224.75,
20251222,2714852,(not set),(not set),44748.97,
20251214,4209578,(not set),(not set),42202.43,
20251204,4199119,(not set),(not set),39879.76,
20251117,4180735,(not set),(not set),37094.93,
20251205,4199786,(not set),(not set),36221.82,
20251016,4119443,(not set),(not set),35249.85,
20251027,4132239,(not set),(not set),33073.87,
20251226,4221821,(not set),(not set),30817.96,
20251017,4121633,(not set),(not set),29749.83,
20251231,4225074,(not set),(not set),28717.97,
20251123,4185936,(not set),(not set),28399.99,
20251018,4104784,(not set),(not set),28209.87,
20251028,4132902,(not set),(not set),27882.52,
20260109,4241470,(not set),(not set),27603.95,
20251029,4133525,(not set),(not set),27299.99,
20251114,4177904,(not set),(not set),27181.94,
20251215,4211110,(not set),(not set),26352.4,
20251028,4132475,(not set),(not set),26217.97,
20251030,4134708,(not set),(not set),25955.88,
20251106,4161987,(not set),(not set),25743.76,
20251111,4173402,(not set),(not set),25673.44,
20251204,4199305,(not set),(not set),25476.44,
20251125,4188703,(not set),(not set),25417.94,
20251208,4202495,(not set),(not set),25325.86,
20251116,4179134,(not set),(not set),25217.95,
20251202,4196310,(not set),(not set),25102.47,
20251219,4216730,(not set),(not set),24657.85,
20251222,4218808,(not set),(not set),24418.68,
20260112,4244924,(not set),(not set),23743.96,
20251114,4177740,(not set),(not set),23703.93,
20260102,4227037,(not set),(not set),23694.65,
20251031,4135663,(not set),(not set),23371.88,
20251230,4224532,(not set),(not set),22967.95,
20251115,4178632,(not set),(not set),22703.92,
20251019,4124479,(not set),(not set),22399.98,
20251218,4215373,(not set),(not set),22299.95,
20251119,4182459,(not set),(not set),22259.97,
20251015,4117000,(not set),(not set),21916.9,
20251212,4207189,(not set),(not set),21813.84,
20251203,4198152,(not set),(not set),21800.38,
20251230,4224301,(not set),(not set),21764.14,
20251211,4206596,(not set),(not set),21383.82,
20251031,4135321,(not set),(not set),21146.38,
20251102,4137111,(not set),(not set),20803.97,
20251116,4179147,(not set),(not set),20717.95,
20251025,4130614,(not set),(not set),20611.97,
20251204,4198513,(not set),(not set),20599.97,
20251222,4218892,(not set),(not set),20539.97,
20251018,4122989,(not set),(not set),20440.9,
20251106,4161667,(not set),(not set),19990,
20251112,4175412,(not set),(not set),19296.96,
20251211,4206741,(not set),(not set),19156.41,
20251201,4195800,(not set),(not set),19063.32,
20251116,4179578,(not set),(not set),18702.48,
20251119,4182015,(not set),(not set),18599.94,
20251101,4136649,(not set),(not set),18402.47,
20251126,4190119,(not set),(not set),18399.97,
20251208,4203043,(not set),(not set),18350.79,
20251213,4208692,(not set),(not set),18308.93,
20251017,4121244,(not set),(not set),18004.96,
20251017,4121889,(not set),(not set),18002.47,
20251015,4117893,(not set),(not set),17632.39,
20251022,4128270,(not set),(not set),17511.38,
20260109,4240997,(not set),(not set),17419.91,
20251222,4218485,(not set),(not set),17408.88,
20260109,4241285,(not set),(not set),17399.98,
20251222,4218866,(not set),(not set),17248.9,
20251023,4128865,(not set),(not set),17182.77,
20260110,4242632,(not set),(not set),17128.9,
20251110,4171402,(not set),(not set),16999.98,
20251110,4171409,(not set),(not set),16999.98,
20251113,4176561,(not set),(not set),16999.8,
20251016,4120052,(not set),(not set),16879.96,
20251022,4128192,(not set),(not set),16799.96,
20251022,4128113,(not set),(not set),16799.94,
20251126,4189532,(not set),(not set),16677.86,
20251120,4183388,(not set),(not set),16599.99,
20251118,4180792,(not set),(not set),16531.91,
20251128,4193064,(not set),(not set),16501.95,
20251127,4191566,(not set),(not set),16402.48,
20251218,4214907,(not set),(not set),16333.97,
20251109,4170647,(not set),(not set),16199.98,
20251204,4198558,(not set),(not set),16199.91,
20251202,4196637,(not set),(not set),16157.94,
20251111,4173313,(not set),(not set),16099.99,
20251202,4195879,(not set),(not set),16017.96,
20251202,4196162,(not set),(not set),16017.96,
20251215,4210201,(not set),(not set),16017.96,
20251215,4211729,(not set),(not set),16017.96,
20251211,4206998,(not set),(not set),16017.96,
20251217,4213975,(not set),(not set),16003.98,
20251213,4208516,(not set),(not set),16002.48,
20251218,4214835,(not set),(not set),15950.86,
20251108,4168864,(not set),(not set),15942.9,
20260103,4230349,(not set),(not set),15917.97,
20251231,4224992,(not set),(not set),15802.48,
20251227,4221989,(not set),(not set),15799.98,
20251203,4197944,(not set),(not set),15740.35,
20251027,4132217,(not set),(not set),15599.94,
20251220,4217336,(not set),(not set),15417.96,
20251209,4203898,(not set),(not set),15202.47,
20251208,4203089,(not set),(not set),15131.96,
20260104,4232772,(not set),(not set),15111.97,
20251210,4205443,(not set),(not set),15017.96,
20251016,4118921,(not set),(not set),15002.47,
20251209,4203482,(not set),(not set),14999.99,
20251103,4138461,(not set),(not set),14953.58,
20251217,4213304,(not set),(not set),14817.96,
